"pass_id"	"chapter"	"chapter_number"	"official_title"	"render_slug"	"current_primary_file"	"supplemental_source_file"	"proposed_canonical_filename"	"filename_issue"	"resolution"
"I-0238"	"CH01"	"01"	"The Shock"	"chapter-01-the-shock"	"manuscript/01-the-shock.md"	""	"manuscript/01-the-shock.md"	"none"	"canonical primary file already matches outline slot"
"I-0238"	"CH02"	"02"	"Before the Transformer"	"chapter-02-before-the-transformer"	"manuscript/01-before-the-transformer.md"	""	"manuscript/02-before-the-transformer.md"	"legacy_number_prefix"	"render map assigns current legacy filename to CH02; optional future rename only after references are migrated"
"I-0238"	"CH03"	"03"	"Attention Catches Fire"	"chapter-03-attention-catches-fire"	"manuscript/02-attention-catches-fire.md"	""	"manuscript/03-attention-catches-fire.md"	"legacy_number_prefix"	"render map assigns current legacy filename to CH03; optional future rename only after references are migrated"
"I-0238"	"CH04"	"04"	"The Scaling Bet"	"chapter-04-the-scaling-bet"	"manuscript/03-scaling-bet.md"	""	"manuscript/04-the-scaling-bet.md"	"legacy_number_prefix"	"render map assigns current legacy filename to CH04; optional future rename only after references are migrated"
"I-0238"	"CH05"	"05"	"GPT-1 to GPT-3: The Door Opens"	"chapter-05-gpt-1-to-gpt-3-the-door-opens"	"manuscript/05-gpt-1-to-gpt-3-door-opens.md"	""	"manuscript/05-gpt-1-to-gpt-3-door-opens.md"	"none"	"canonical primary file already matches outline slot"
"I-0238"	"CH06"	"06"	"Alignment Enters the Product"	"chapter-06-alignment-enters-the-product"	"manuscript/06-alignment-enters-product.md"	""	"manuscript/06-alignment-enters-product.md"	"none"	"canonical primary file already matches outline slot"
"I-0238"	"CH07"	"07"	"ChatGPT: The Interface Event"	"chapter-07-chatgpt-the-interface-event"	"manuscript/07-chatgpt-interface-event.md"	""	"manuscript/07-chatgpt-interface-event.md"	"none"	"canonical primary file already matches outline slot"
"I-0238"	"CH08"	"08"	"Microsoft, OpenAI, and the Cloud Bargain"	"chapter-08-microsoft-openai-and-the-cloud-bargain"	"manuscript/08-microsoft-openai-cloud-bargain.md"	""	"manuscript/08-microsoft-openai-cloud-bargain.md"	"none"	"canonical primary file already matches outline slot"
"I-0238"	"CH09"	"09"	"Google and DeepMind Wake the Sleeping Giant"	"chapter-09-google-and-deepmind-wake-the-sleeping-giant"	"manuscript/09-google-deepmind-gemini.md"	""	"manuscript/09-google-deepmind-wake-the-sleeping-giant.md"	"short_topic_filename"	"render map binds file to official title; optional future rename can improve human readability"
"I-0238"	"CH10"	"10"	"Meta, Llama, and the Open-Weight Shock"	"chapter-10-meta-llama-and-the-open-weight-shock"	"manuscript/10-meta-llama-open-weight-shock.md"	""	"manuscript/10-meta-llama-and-the-open-weight-shock.md"	"minor_title_shortening"	"render map uses official title while leaving existing provenance path stable"
"I-0238"	"CH11"	"11"	"The Chinese Frontier"	"chapter-11-the-chinese-frontier"	"manuscript/11-chinese-frontier-open-models.md"	""	"manuscript/11-the-chinese-frontier.md"	"topic_extension_filename"	"render map uses official title while preserving descriptive current filename"
"I-0238"	"CH12"	"12"	"Europe, xAI, and the Rest of the Frontier"	"chapter-12-europe-xai-and-the-rest-of-the-frontier"	"manuscript/12-europe-xai-rest-frontier.md"	"manuscript/12-anthropic-and-claude-spine-section.md"	"manuscript/12-europe-xai-and-the-rest-of-the-frontier.md"	"duplicate_chapter_number_and_supplemental_anthropic_sidecar"	"official CH12 title and primary file are Europe/xAI/rest-frontier; Anthropic/Claude remains a supplemental section in the assembled draft and a cross-chapter topic source, not a second main chapter"
"I-0238"	"CH13"	"13"	"Benchmarks, Arenas, and the Mirage of Rank"	"chapter-13-benchmarks-arenas-and-the-mirage-of-rank"	"manuscript/13-model-rankings-appendix.md"	""	"manuscript/13-benchmarks-arenas-and-the-mirage-of-rank.md"	"appendix_label_in_main_chapter_file"	"render map promotes file to official main chapter title; optional future rename should remove appendix wording"
"I-0238"	"CH14"	"14"	"NVIDIA and CUDA: The Moat Under the Moat"	"chapter-14-nvidia-and-cuda-the-moat-under-the-moat"	"manuscript/14-nvidia-cuda-moat.md"	""	"manuscript/14-nvidia-and-cuda-the-moat-under-the-moat.md"	"minor_title_shortening"	"render map uses official title while preserving current filename"
"I-0238"	"CH15"	"15"	"GTC 2026: The AI Factory Sells Itself"	"chapter-15-gtc-2026-the-ai-factory-sells-itself"	"manuscript/15-gtc-2026-ai-factory-sells-itself.md"	""	"manuscript/15-gtc-2026-the-ai-factory-sells-itself.md"	"none"	"canonical primary file already matches outline slot"
"I-0238"	"CH16"	"16"	"Datacenters, Power, and the Physical Internet"	"chapter-16-datacenters-power-and-the-physical-internet"	"manuscript/16-speed-to-power.md"	""	"manuscript/16-datacenters-power-and-the-physical-internet.md"	"working_title_filename"	"render map uses official title; optional future rename can retire Speed To Power working title"
"I-0238"	"CH17"	"17"	"Data, Tokens, and the Library Problem"	"chapter-17-data-tokens-and-the-library-problem"	"manuscript/17-data-tokens-library-problem.md"	""	"manuscript/17-data-tokens-and-the-library-problem.md"	"minor_title_shortening"	"render map uses official title while preserving current filename"
"I-0238"	"CH18"	"18"	"Tools, Retrieval, and the Agent Turn"	"chapter-18-tools-retrieval-and-the-agent-turn"	"manuscript/18-tools-retrieval-agent-turn.md"	""	"manuscript/18-tools-retrieval-and-the-agent-turn.md"	"minor_title_shortening"	"render map uses official title while preserving current filename"
"I-0238"	"CH19"	"19"	"Code as the Second Native Language"	"chapter-19-code-as-the-second-native-language"	"manuscript/19-code-as-the-second-native-language.md"	""	"manuscript/19-code-as-the-second-native-language.md"	"none"	"canonical primary file already matches outline slot"
"I-0238"	"CH20"	"20"	"Claude Code and the Industrialization of Pair Programming"	"chapter-20-claude-code-and-the-industrialization-of-pair-programming"	"manuscript/20-claude-code-industrialized-pair-programming.md"	""	"manuscript/20-claude-code-and-the-industrialization-of-pair-programming.md"	"minor_title_shortening"	"render map uses official title while preserving current filename"
"I-0238"	"CH21"	"21"	"Reasoning, Test-Time Compute, and the New Scaling Axis"	"chapter-21-reasoning-test-time-compute-and-the-new-scaling-axis"	"manuscript/21-reasoning-test-time-compute.md"	""	"manuscript/21-reasoning-test-time-compute-and-the-new-scaling-axis.md"	"minor_title_shortening"	"render map uses official title while preserving current filename"
"I-0238"	"CH22"	"22"	"The Economics of Intelligence on Tap"	"chapter-22-the-economics-of-intelligence-on-tap"	"manuscript/22-economics-intelligence-on-tap.md"	""	"manuscript/22-the-economics-of-intelligence-on-tap.md"	"minor_title_shortening"	"render map uses official title while preserving current filename"
"I-0238"	"CH23"	"23"	"Failure Modes, Truth, and Trust"	"chapter-23-failure-modes-truth-and-trust"	"manuscript/23-failure-modes-truth-trust.md"	""	"manuscript/23-failure-modes-truth-and-trust.md"	"minor_title_shortening"	"render map uses official title while preserving current filename"
"I-0238"	"CH24"	"24"	"Next Token"	"chapter-24-next-token"	"manuscript/24-next-token.md"	""	"manuscript/24-next-token.md"	"none"	"canonical primary file already matches outline slot"
