comparison_id	gate_id	parent_evidence	candidate_evidence	result	decision	notes
CH16RC-001	CH16PG-001	Parent inline render A-0018 keeps all CH16Q IDs in paragraph.	Candidate mock A-0017 shows N16-1 on the same SVG page as the anchor.	mock_pass_pdf_unverified	do_not_merge_live	No production PDF page image exists; same-page proof is SVG-only.
CH16RC-002	CH16PG-002	Parent has no note; inline cues sit directly in sentence flow.	Candidate mock A-0017 places the N16-1 note beside the LBNL/DOE paragraph with a dashed leader line.	mock_pass_pdf_unverified	do_not_merge_live	Proximity appears visually good in the mock, but real page breaks and figure interactions are untested.
CH16RC-003	CH16PG-003	Parent main text retains full measure but has dense cue clusters.	Candidate mock improves main paragraph flow and keeps note text readable at 15px.	mock_pass_pdf_unverified	do_not_merge_live	Readable in SVG; final print/PDF font size and note column measure remain unverified.
CH16RC-004	CH16PG-004	Parent cannot collide with a note because there is no note.	Candidate mock has no collision inside isolated page render.	mock_only_fail_production_scope	do_not_merge_live	Gate requires render with all Chapter 16 figures/notes enabled; the current mock is isolated.
CH16RC-005	CH16PG-005	Parent visibly keeps CH16Q-003, CH16Q-004, CH16Q-005, and CH16Q-006 inline.	Candidate mock's N16-1 note preserves four separate rows with reported/modeled/projected/scenario language.	mock_pass	do_not_merge_live	Mapping integrity passes in the mock and should be carried forward.
CH16RC-006	CH16PG-006	Parent and candidate both show CH16Q-017 inline in the NVIDIA/GTC company-framing sentence.	A-0017 keeps CH16Q-017 inline and outside N16-1.	pass	do_not_merge_live	C-0021/C-0047 remain active.
CH16RC-007	CH16PG-007	Parent and candidate both show CH16Q-018 inline in the energy-per-token exclusion sentence.	A-0017 keeps CH16Q-018 inline and outside N16-1.	pass	do_not_merge_live	Energy-per-token exclusion remains sentence-visible.
CH16RC-008	CH16PG-008	Parent and candidate both keep CH16Q-015 and CH16Q-016 inline in the Uptime paragraph.	A-0017 keeps CH16Q-015 and CH16Q-016 inline and outside N16-1.	pass	do_not_merge_live	Operator-survey rows remain out of the first note move.
CH16RC-009	CH16PG-009	No live manuscript prose changed in this pass.	Candidate is an SVG mock; no new manuscript quantities or Wh/token/NVIDIA performance claims were introduced.	pass	do_not_merge_live	Diff check still required before any future prose merge.
CH16RC-010	CH16PG-010	Parent render A-0018 and candidate mock A-0017 now exist as lightweight A/B evidence.	Comparison table records parent/candidate evidence and gate results.	partial_pass	do_not_merge_live	Reversibility evidence exists at SVG mock level only; true production screenshot/PDF pass remains pending.
