dimension_id	benchmark_dimension	current_score_1_to_5	target_score_1_to_5	evidence_from_current_ledgers	gap	decision_rule
VSCORE-001	Industrial mechanism clarity	5	5	AI factory, accelerator, semiconductor, power, and token-economics packages already form a layered systems language.	No core clarity gap; risk is overuse.	Keep strongest system diagrams, then prune duplicates when a chapter starts to feel like a dashboard.
VSCORE-002	Physical and human texture	2	4	Page-flow and render-smoke ledgers show photo/capture/rights debt and early single-visual chapters.	Not enough publication-ready scene, object, lab, or physical infrastructure texture.	Add only rights-clean source/scene exhibits that carry story purpose; otherwise strengthen prose instead.
VSCORE-003	Map and place usefulness	2	4	Infrastructure and geopolitics are present in prose and source maps, but selected figures skew diagrams/cards.	Place is under-expressed relative to infrastructure stakes.	Use maps only for bottleneck explanation, not ambient geography.
VSCORE-004	Product-surface memory	3	4	Selected ledger includes many screenshot slots and product surfaces.	Capture, rights, and caption gates remain open for key screenshots.	No screenshot survives final selection without capture hash, access date, rights/private-use note, and blocked-claim caption.
VSCORE-005	Source-surface credibility	4	5	Source cards, GTC provenance, model cards, and evidence lanes are a distinctive strength.	Selected-100 ledger underrepresents some strong source-card candidates.	Replace weak screenshots/photos with source cards when they improve trust and reduce rights risk.
VSCORE-006	Page rhythm and white space	3	5	I-0231 finds Chapters 2-5 too open, Chapters 15-16 crowded, and late chapters mechanism-heavy.	The full-book visual rhythm is not yet shelf-caliber.	Balance by chapter role: early chapters need texture, industrial chapters need pruning, synthesis chapters need breathing room.
VSCORE-007	Caption elegance and source proximity	3	5	Render smoke flags long captions, small caveat text, and source-note proximity risks.	The safety language is strong but can look like ledger apparatus.	Compress wording only after exact claim mapping is preserved.
VSCORE-008	Rights and publication readiness	2	5	Photos, screenshots, and raw slide surfaces remain open production debt.	Rights debt blocks market-quality visual confidence.	Treat any unresolved rights/capture slot as replaceable until final triage closes it.
VSCORE-009	Original visual identity	4	5	Claim-blocker maps, AI-factory systems, token economics, and source-caveat cards create a distinctive visual language.	Originality can become visually heavy if every page explains caveats the same way.	Rotate visual families so the book feels authored, not templated.
VSCORE-010	Final render proof	1	5	Render smoke exists, but no assembled full-book render has proved trim, captions, and page turns.	Visual ambition is not yet proven on actual pages.	Do not call any figure publication-ready until the assembled render confirms legibility and placement.
