source_key	source_ids	source_kind	title_or_page	url_or_path	accessed_date	capture_status	use_for	caveats
MR-001	S-0036	methodology	Chatbot Arena methodology paper	https://arxiv.org/abs/2403.04132	2026-05-24	ledgered	Explaining human-preference arena methodology.	Methodology source, not a live rank snapshot.
MR-002	S-0056	live_leaderboard	LMArena leaderboard	https://lmarena.ai/leaderboard/	2026-05-24	html_captured	Live leaderboard rank/source page for model-ranking appendix.	HTML captured in SNAP-20260524-001; exact ranks still need category/filter normalization before charting.
MR-003	S-0057	policy	LMArena Leaderboard Policy	https://news.lmarena.ai/policy/	2026-05-24	snapshot_notes_only	Inclusion policy and methodology caveats.	Policy itself can change; record version/date.
MR-004	S-0058;S-0072	provider_pricing	OpenAI API Pricing	https://openai.com/api/pricing/	2026-05-24	alternate_official_docs_captured	OpenAI price matrix and caveats.	Original pricing page shell capture remained HTTP 403 in SNAP-20260524-002; alternate official developer-docs pricing HTML captured in SNAP-20260525-001, but exact price rows still need cutoff-status caveats and normalization.
MR-005	S-0059	model_docs	OpenAI GPT-4.1 model docs	https://platform.openai.com/docs/models/gpt-4.1	2026-05-24	snapshot_notes_only	OpenAI model context window / model details.	Docs can change; verify exact model/version before charting.
MR-006	S-0060	provider_pricing	Anthropic Claude API pricing	https://platform.claude.com/docs/en/about-claude/pricing	2026-05-24	html_captured	Claude price/context source.	HTML captured in SNAP-20260524-003; normalize model family, cache, batch, and output caveats before charting.
MR-007	S-0061	provider_pricing	Gemini Developer API Pricing	https://ai.google.dev/gemini-api/docs/pricing	2026-05-24	html_captured	Gemini price/context source.	HTML captured in SNAP-20260524-004; preserve free/paid/batch/grounding/audio/thinking-token caveats.
MR-008	S-0062	provider_pricing	xAI Models and Pricing	https://docs.x.ai/docs/models	2026-05-24	html_captured	xAI Grok model/pricing source.	HTML captured in SNAP-20260524-005; dynamic or console-specific availability still needs caveats.
MR-009	S-0063	model_docs	Mistral model docs	https://docs.mistral.ai/models	2026-05-24	html_captured	Mistral model family/source registry.	HTML captured in SNAP-20260524-006; pair with pricing/API docs before price charting.
MR-010	S-0035	benchmark	SWE-bench paper	https://arxiv.org/abs/2310.06770	2026-05-24	ledgered	Coding-agent benchmark context.	Do not compare claims without harness/version details.
MR-011	S-0037	benchmark	LiveCodeBench paper	https://arxiv.org/abs/2403.07974	2026-05-24	ledgered	Contamination-aware coding benchmark context.	Use as benchmark caveat source, not model-ranking oracle.
MR-014	S-0080	historical_leaderboard_dataset	Arena Leaderboard Dataset text_style_control latest overall rows	https://huggingface.co/datasets/lmarena-ai/leaderboard-dataset	2026-05-25	json_captured_and_normalized	Clean pre-cutoff text-style-control leaderboard rows for model-ranking appendix charts.	SNAP-20260525-008 captured 100 overall rows all published 2026-05-19; label charts with that publish date and do not describe them as live May 24 ranks.
MR-015	S-0081;S-0082	provider_pricing	Mistral AI Pricing	https://mistral.ai/pricing	2026-05-25	html_captured_and_normalized	Mistral API price rows and caveats.	SNAP-20260525-011 and SNAP-20260525-012 captured the same official pricing content; data/mistral_pricing_rows_i0031.tsv normalizes candidate rows, but post-cutoff capture and model-scope caveats remain.
