"chapter"	"source_surface_rows"	"captured_private_render"	"source_handle_only"	"capture_required"	"photo_blocked"	"dominant_issue"	"chapter_action"
"6"	"2"	"0"	"0"	"2"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"7"	"4"	"0"	"0"	"4"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"9"	"1"	"0"	"0"	"1"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"10"	"2"	"0"	"2"	"0"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"11"	"3"	"0"	"3"	"0"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"12"	"2"	"0"	"1"	"1"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"14"	"3"	"0"	"0"	"0"	"3"	"crop_unproven"	"Capture or page-proof concrete raster before final placement."
"15"	"2"	"1"	"0"	"1"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"16"	"4"	"0"	"0"	"0"	"4"	"crop_unproven"	"Capture or page-proof concrete raster before final placement."
"18"	"1"	"0"	"0"	"1"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"19"	"1"	"0"	"0"	"1"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
"20"	"1"	"0"	"0"	"1"	"0"	"caption_neutrality_review"	"Run manual screenshot/caption review before final selection."
