gate_id	readiness_gate	current_state	target_state	measurement_source	fail_condition
VR99-0197-001	selected_program	100 selected top-100 rows	100 curated final or final-candidate rows, with replacements recorded rather than added by inflation	data/master_100_exhibit_selection_matrix_i0182.tsv;future figure register	More than 100 claimed final rows without reserve/drop decisions.
VR99-0197-002	publication_ready_count	74 immediately ready SVG/chart rows	At least 100 final rows have proof of artwork/capture/redraw/source-card readiness plus caption/provenance/rights fields	data/exhibit_readiness_dashboard_i0196.tsv;assets_manifest.tsv	Any selected final row lacks asset path or source/provenance status.
VR99-0197-003	private_captures	17 selected private captures needed	0 uncaptured selected screenshots; all captured, replaced, or dropped	data/master_100_exhibit_selection_matrix_i0182.tsv;capture ledgers	Any selected screenshot lacks raster hash, source URL/title, timestamp, and blocker caption.
VR99-0197-004	photo_rights	7 selected photo rights reviews needed	0 selected photos with unresolved license/attribution/revision status	photo rights ledgers;assets_manifest.tsv	Any selected photo has unknown license, author, revision, commercial/fair-use status, or blocked physical claims.
VR99-0197-005	GTC_duplicates	2 local hashed GTC surfaces plus raw/card duplicate families	One representation per GTC claim job in final layout	data/chapter15_gtc_duplicate_pruning_i0186.tsv	Raw slide and claim card both appear for the same GTC job without render-proven need.
VR99-0197-006	early_floor_gap	Chapters 2-5 have one selected exhibit each	Chapters 2-5 each have 3-4 strong source-backed exhibit candidates	data/exhibit_readiness_chapter_dashboard_i0196.tsv	Any early technical chapter stays below 3 strong candidates after replacement work.
VR99-0197-007	overfull_pruning	11 chapters over target; 19 rows above four-per-chapter ceiling	No chapter exceeds four final exhibits without explicit narrative/render exception	data/per_chapter_exhibit_quota_board_i0187.tsv;page-flow QA	Overfull chapters remain crowded by quota inertia rather than spread evidence.
VR99-0197-008	caption_quality	Mixed caption readiness across selected rows	Every final caption teaches one thing, names source/provenance, and blocks the tempting false claim	caption QA table	Caption implies adoption, revenue, productivity, rank, safety, roadmap delivery, or physical claims not supported.
VR99-0197-009	source_integrity	Source and asset ledgers exist but not every final row is audited	Every final row has source IDs, access date, rights status, story purpose, and blocker	assets_manifest.tsv;source-note QA	Any final row lacks a complete provenance chain.
VR99-0197-010	legibility	Many SVGs ready; final render not proven	All final exhibits pass PDF/page-level legibility and contrast checks	render QA ledgers	Small text, axes, captions, source labels, or screenshots are unreadable at final size.
VR99-0197-011	visual_rhythm	100 selected rows but uneven chapter density	Visual roles vary by chapter and serve story rhythm, not quota filling	visual rhythm board;page-flow mock	Visuals repeat the same grammar or interrupt prose without narrative payoff.
VR99-0197-012	full_book_render	Full-book visual PDF QA not passed	Full-book render passes broken-ref, missing-caption, overflow, crop, and figure-order checks	rendered QA outputs	Any final spread has broken refs, missing captions, overflow, unreadable charts, or ugly layout failure.
